id,label,timeset,entity_type,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,eigencentrality,clustering
andreaudegiorgi,andreaudegiorgi,,user,0,2,2,0.0,2.0,2.0,7.0,0.2714370195150798,0.28585952899678374,0.0,9,0,374,0.0,0.5
andreaweiskopf,andreaweiskopf,,user,3,0,3,5.0,0.0,5.0,0.0,0.0,0.0,0.0,9,0,226,0.02450048861192261,0.0
andreifriedmann,andreifriedmann,,user,0,2,2,0.0,2.0,2.0,7.0,0.23478260869565218,0.24858906525573268,0.0,16,0,375,0.0,0.5
angelhamilton8,angelhamilton8,,user,0,4,4,0.0,6.0,6.0,7.0,0.26424870466321243,0.27935989210499,0.0,16,0,376,0.0,0.25
annetteyreed,annetteyreed,,user,0,3,3,0.0,4.0,4.0,7.0,0.25757575757575757,0.27108102500259385,0.0,19,0,377,0.0,0.3333333432674408
antikytheraeyes,antikytheraeyes,,user,0,3,3,0.0,4.0,4.0,5.0,0.3427931292008962,0.3632897603485846,0.0,9,0,378,0.0,0.3333333432674408
antiquityj,antiquityj,,user,41,22,63,155.0,52.0,207.0,5.0,0.34332833583208394,0.38344250363901106,13488.17387421969,2,0,311,0.13807294218340074,0.08983665704727173
apistone,apistone,,user,4,6,10,4.0,18.0,22.0,7.0,0.2731067382230173,0.29088687876897484,1703.7261904761906,8,0,311,0.02452841046002544,0.2361111044883728
ar12457812,ar12457812,,user,0,3,3,0.0,4.0,4.0,5.0,0.313953488372093,0.3318809005083514,0.0,9,0,379,0.0,0.3333333432674408
archaeoinaction,archaeoinaction,,user,0,3,3,0.0,4.0,4.0,6.0,0.290955091714105,0.30518115942028934,0.0,3,0,381,0.0,0.1666666716337204
archaeology_aia,archaeology_aia,,user,61,13,74,157.0,32.0,189.0,5.0,0.35149654643131234,0.3815502183406126,10176.06705470601,9,0,311,0.2675669451318526,0.10062111914157867
archaeologyncl,archaeologyncl,,user,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,19,0,382,0.0016153077307387157,0.5
archaeologyto,archaeologyto,,user,27,4,31,43.0,10.0,53.0,6.0,0.28429546865301053,0.3022561863173215,9167.11633765259,16,0,311,0.12075506264552298,0.14367815852165222
archaeoops,archaeoops,,user,0,9,9,0.0,18.0,18.0,6.0,0.30414746543778803,0.33033910533910493,0.0,2,0,386,0.0,0.1666666716337204
archaeotweets,archaeotweets,,user,2,4,6,6.0,6.0,12.0,1.0,1.0,1.0,0.0,2,0,389,0.0015277442581385216,0.2666666805744171
archanchistleic,archanchistleic,,user,1,2,3,1.0,2.0,3.0,6.0,0.3066132264529058,0.3226579520697166,458.0,6,0,390,7.638721290692608E-4,0.3333333432674408
archrisk,archrisk,,user,0,4,4,0.0,6.0,6.0,7.0,0.216,0.2280423280423293,0.0,20,0,391,0.0,0.75
arconserve,arconserve,,user,0,2,2,0.0,2.0,2.0,7.0,0.22184630256162396,0.23166822284469452,0.0,16,0,392,0.0,0.5
arianeschwartz,arianeschwartz,,user,10,0,10,27.0,0.0,27.0,0.0,0.0,0.0,0.0,9,0,227,0.07286615824907886,0.31111112236976624
arkeografia,arkeografia,,user,0,2,2,0.0,2.0,2.0,8.0,0.17783804726850058,0.185537918871253,0.0,20,0,393,0.0,0.5
arlis_ny,arlis_ny,,user,0,2,2,0.0,2.0,2.0,7.0,0.21569548872180452,0.22550057059861106,0.0,20,0,394,0.0,0.5
arnemancy,arnemancy,,user,0,2,2,0.0,2.0,2.0,6.0,0.27452153110047844,0.28812636165577304,0.0,9,0,395,0.0,0.5
arretetonchar1,arretetonchar1,,user,0,3,3,0.0,4.0,4.0,7.0,0.22555282555282555,0.23954767092022097,0.0,19,0,396,0.0,0.1666666716337204
arttalkhawaii,arttalkhawaii,,user,0,2,2,0.0,4.0,4.0,1.0,1.0,1.0,0.0,10,0,397,0.0,0.5
ascsapubs,ascsapubs,,user,9,4,13,13.0,8.0,21.0,7.0,0.22450980392156863,0.23654086088584012,1416.1472642648953,9,0,311,0.035218153956030056,0.22727273404598236
ascsathens,ascsathens,,user,7,5,12,13.0,10.0,23.0,7.0,0.228428927680798,0.24447910168434275,210.5629459696249,9,0,311,0.04429333373409051,0.3333333432674408
aspiringspartan,aspiringspartan,,user,4,13,17,4.0,31.0,35.0,6.0,0.3152099105299381,0.3412299854439595,3802.7530060289537,4,0,311,0.007435980203108638,0.14835165441036224
astrokatie,astrokatie,,user,2,0,2,7.0,0.0,7.0,0.0,0.0,0.0,0.0,6,0,398,0.0017135775826020128,0.5
avensarah,avensarah,,user,4,4,8,10.0,16.0,26.0,5.0,0.3430711610486891,0.364446870451238,0.8928571428571428,9,0,311,0.01769320159058071,0.375
